tag,餐饮美食,房产,服饰鞋包,个护美容,花鸟萌宠,婚恋交友,家电数码,建材家居,教育培训,金融财经,旅游出行,母婴亲子,汽车,求职创业,软件应用,商务服务,生活服务,书籍阅读,体育健身,网络购物,星座运势,休闲爱好,医疗健康,影视音乐,游戏,资讯
1000_id,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
003AD9C34E773BB9061F69020315470C,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0
003F9BF29CAABD733E7A24D40D678875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011D57E72E563B901A744ABDD9BF63BE,91.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,85.0,80.0,0.0,0.0,0.0,0.0,96.0,74.0,0.0,0.0,80.0,77.0,0.0,0.0,93.0,91.0,0.0,87.0
05367017C99432274408628E31048A70,0.0,78.0,91.0,0.0,0.0,0.0,0.0,85.0,95.0,71.0,74.0,76.0,84.0,90.0,0.0,75.0,92.0,0.0,97.0,94.0,0.0,0.0,85.0,94.0,0.0,82.0
05E51E53021097ABA201A4F1A4CE6C95,84.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,90.0,70.0,0.0,82.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,90.0,86.0,0.0,87.0
07FDF6882608F9037CD5A79603DD1BCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08382380AFBAA93A606DE0FF2CF57D24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0A0AB1659AB9070B81D972021AF2689D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0A597C8940215F8F4F7B03BB8EF826C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,86.0
